ZCTA,DATE,AVG,DP
90011,2013-10-23,17.759352207183852,1.715464293068976
90011,2013-10-24,17.7720608711243,-0.16300796644405635
90011,2013-10-25,18.0268406867981,-0.7287424455934731
90011,2013-10-26,18.747031211853,-0.7975832609862429
90011,2013-10-27,17.6798062324524,-1.0758922171296093
90011,2013-10-28,16.426280021667502,2.3355180976408434
90011,2013-10-29,15.300485134124749,-2.9905408058309875
90011,2013-10-30,16.030517578125,-3.6471533554560764
90011,2013-10-31,18.77238416671755,-3.137415076111112
90011,2013-11-01,21.057089328765848,-2.0259215312353236
90011,2013-11-02,20.76337814331055,-1.0031883493576417
90011,2013-11-03,18.360782623291,2.2427537366986146
90011,2013-11-04,17.174109935760498,1.3391554385491393
90011,2013-11-05,17.55219507217405,-3.5437629868763496
90011,2013-11-06,19.74019575119015,-2.798613078892077
90011,2013-11-07,21.94165992736815,-0.4503832711405787
90011,2013-11-08,18.7729172706604,-2.4498989447288446
90011,2013-11-09,18.5337977409363,-2.073607864357225
90011,2013-11-10,19.82287979125975,-2.55886167112081
90011,2013-11-11,18.1951198577881,-3.158929668221148
90011,2013-11-12,19.36046314239505,-1.0649826956845063
90011,2013-11-13,23.94116020202635,0.117688317484868
90011,2013-11-14,24.0643310546875,1.1143315062000045
90011,2013-11-15,18.43357944488525,6.225920645071049
90011,2013-11-16,16.6201333999634,5.042100444931351
90011,2013-11-17,16.2182149887085,-1.0632913701428284
90011,2013-11-18,15.700163841247548,-1.2278383907276862
90011,2013-11-19,16.0946397781372,8.072476862613543
90011,2013-11-20,16.2379360198975,11.283282177684034
90011,2013-11-21,15.8390669822693,11.069000592224699
90011,2013-11-22,15.2373704910278,3.5975038531800902
90011,2013-11-23,15.15608406066895,-3.661136952972109
90011,2013-11-24,14.694001197814956,-4.794783289102662
90011,2013-11-25,15.476328372955312,-5.049052387944454
90011,2013-11-26,17.7321314811707,-3.8708339857724123
90011,2013-11-27,18.3930983543396,-1.6854213310719859
90011,2013-11-28,16.10322761535645,-3.264797946012253
90011,2013-11-29,15.5411167144775,9.116592002772476
90011,2013-11-30,17.0842685699463,-3.038032658608095
90011,2013-12-01,19.211662292480447,-2.521965189992047
90011,2013-12-02,17.3171124458313,-2.981004387008898
90011,2013-12-03,14.13640165328979,-2.7924354922633996
90011,2013-12-04,12.689125061035181,-2.25233777278815
90011,2013-12-05,11.457974195480345,-3.8696060769799097
90011,2013-12-06,10.79606246948241,-5.123836837861017
90011,2013-12-07,10.484200477600094,2.555488894576621
90011,2013-12-08,9.35499715805053,-3.761044809929601
90011,2013-12-09,10.301227450370796,-6.9475655585185345
90011,2013-12-10,11.97495365142822,-8.286729036975169
90011,2013-12-11,14.7667920589447,-7.599493248483623
90011,2013-12-12,14.047696113586404,-3.339369441874368
90011,2013-12-13,12.642950534820564,-3.578018374823323
90011,2013-12-14,14.981564283370975,-6.594754814626439
90011,2013-12-15,17.972361087799065,-5.468539622036798
90011,2013-12-16,21.56911087036135,-0.3928189368588173
90011,2013-12-17,20.12886571884155,0.015318897762732576
90011,2013-12-18,17.736436367034898,6.737963958265983
90011,2013-12-19,12.328227996826154,8.374581548243988
90011,2013-12-20,12.167006731033304,-0.553640964428634
90011,2013-12-21,12.24154186248781,1.9191119169905386
90011,2013-12-22,13.88106107711791,-1.8194942487671908
90011,2013-12-23,16.197913169860815,-2.029633275842103
90011,2013-12-24,18.16892719268795,-1.031453521413439
